clusters,threshold,silhouette_score,davies_bouldin_score
2,0.5,0.5658467536213185,0.8847826173793981
2,0.6,0.27459440422554654,1.4870010890508045
2,0.7,0.26962790611868526,1.2115482635480803
3,0.5,0.40043940097171293,0.9779532693486804
3,0.6,0.27372480175570485,1.055764474837421
3,0.7,0.2679509614232195,0.8644498538153028
4,0.5,0.3971728862845144,0.8249457781977168
4,0.6,0.2601450600683711,0.998906824446036
4,0.7,0.36427679137622654,0.862696885530483
5,0.5,0.33114421292121293,0.8604429292091972
5,0.6,0.35434030792675597,0.9145609553198397
5,0.7,0.34121494826951804,0.8373768884699144
6,0.5,0.33086968768854774,0.7425607337629049
6,0.6,0.29567232607191174,0.865976016606043
6,0.7,0.33725673637901143,0.7931484694193914
7,0.5,0.30211719677983945,0.8126819852960897
7,0.6,0.2955336566144127,0.7918937922594926
7,0.7,0.3142925610740342,0.7909504576412997
8,0.5,0.3460514327276106,0.7961993708781702
8,0.6,0.31586537612240156,0.8263760062977463
8,0.7,0.36011230361513297,0.789650247284424
9,0.5,0.3431538837873833,0.8277641336929384
9,0.6,0.3152877315498968,0.8063904545111859
9,0.7,0.3593896998836774,0.7963224039286938
10,0.5,0.3430833106994536,0.7747440106322397
10,0.6,0.3029096277640247,0.9063521521317025
10,0.7,0.3446559835020752,0.7705525182120786
11,0.5,0.3442984855952734,0.8605873708580781
11,0.6,0.30873327979567705,0.8703254692195361
11,0.7,0.34438901150565476,0.7689362949167026
12,0.5,0.3353548315160791,0.8705834372372078
12,0.6,0.3069557067794358,0.8907085648375429
12,0.7,0.326673509056361,0.7845779918535131
